"Statistic Label","Year","State","UNIT","VALUE"
"Livestock - Cattle","1990","State","000 Head","1888"
"Livestock - Cattle","1991","State","000 Head","1894"
"Livestock - Cattle","1992","State","000 Head","1977"
"Livestock - Cattle","1993","State","000 Head","1997"
"Livestock - Cattle","1994","State","000 Head","1908"
"Livestock - Cattle","1995","State","000 Head","1983"
"Livestock - Cattle","1996","State","000 Head","2051"
"Livestock - Cattle","1997","State","000 Head","2058"
"Livestock - Cattle","1998","State","000 Head","2157"
"Livestock - Cattle","1999","State","000 Head","2132"
"Livestock - Cattle","2000","State","000 Head","2061"
"Livestock - Cattle","2001","State","000 Head","2072"
"Livestock - Cattle","2002","State","000 Head","1830"
"Livestock - Cattle","2003","State","000 Head","1956"
"Livestock - Cattle","2004","State","000 Head","1911"
"Livestock - Cattle","2005","State","000 Head","1845"
"Livestock - Cattle","2006","State","000 Head","1823"
"Livestock - Cattle","2007","State","000 Head","1877"
"Livestock - Cattle","2008","State","000 Head","1866"
"Livestock - Cattle","2009","State","000 Head","1783"
"Livestock - Cattle","2010","State","000 Head","1741"
"Livestock - Cattle","2011","State","000 Head","1861"
"Livestock - Cattle","2012","State","000 Head","1969"
"Livestock - Cattle","2013","State","000 Head","1845"
"Livestock - Cattle","2014","State","000 Head","1909"
"Livestock - Cattle","2015","State","000 Head","2008"
"Livestock - Cattle","2016","State","000 Head","2063"
"Livestock - Cattle","2017","State","000 Head","2088.571"
"Livestock - Cattle","2018","State","000 Head","2051.308"
"Livestock - Cattle","2019","State","000 Head","2112.003"
"Livestock - Cattle","2020","State","000 Head","2106.488"
"Livestock - Cattle","2021","State","000 Head","2151.629"
"Livestock - Cattle","2022","State","000 Head","2092.566"
"Livestock - Cattle","2023","State","000 Head","2163.552"
"Livestock - Pigs","1990","State","000 Head","2533"
"Livestock - Pigs","1991","State","000 Head","2645"
"Livestock - Pigs","1992","State","000 Head","2822"
"Livestock - Pigs","1993","State","000 Head","2975"
"Livestock - Pigs","1994","State","000 Head","2994"
"Livestock - Pigs","1995","State","000 Head","3020"
"Livestock - Pigs","1996","State","000 Head","3255"
"Livestock - Pigs","1997","State","000 Head","3478"
"Livestock - Pigs","1998","State","000 Head","3645"
"Livestock - Pigs","1999","State","000 Head","3510"
"Livestock - Pigs","2000","State","000 Head","3280"
"Livestock - Pigs","2001","State","000 Head","3366"
"Livestock - Pigs","2002","State","000 Head","3381"
"Livestock - Pigs","2003","State","000 Head","3215"
"Livestock - Pigs","2004","State","000 Head","3177"
"Livestock - Pigs","2005","State","000 Head","3016"
"Livestock - Pigs","2006","State","000 Head","3038"
"Livestock - Pigs","2007","State","000 Head","2918"
"Livestock - Pigs","2008","State","000 Head","3100"
"Livestock - Pigs","2009","State","000 Head","3027"
"Livestock - Pigs","2010","State","000 Head","3395"
"Livestock - Pigs","2011","State","000 Head","3693"
"Livestock - Pigs","2012","State","000 Head","3608"
"Livestock - Pigs","2013","State","000 Head","3571"
"Livestock - Pigs","2014","State","000 Head","3701"
"Livestock - Pigs","2015","State","000 Head","3820"
"Livestock - Pigs","2016","State","000 Head","3853"
"Livestock - Pigs","2017","State","000 Head","3888.695"
"Livestock - Pigs","2018","State","000 Head","3867.459"
"Livestock - Pigs","2019","State","000 Head","3913.354"
"Livestock - Pigs","2020","State","000 Head","4082.833"
"Livestock - Pigs","2021","State","000 Head","4157.545"
"Livestock - Pigs","2022","State","000 Head","3898.5"
"Livestock - Pigs","2023","State","000 Head","3518.179"
"Livestock - Sheep","1990","State","000 Head","4096"
"Livestock - Sheep","1991","State","000 Head","4344"
"Livestock - Sheep","1992","State","000 Head","4600"
"Livestock - Sheep","1993","State","000 Head","4778"
"Livestock - Sheep","1994","State","000 Head","4397"
"Livestock - Sheep","1995","State","000 Head","3906"
"Livestock - Sheep","1996","State","000 Head","3968"
"Livestock - Sheep","1997","State","000 Head","3786"
"Livestock - Sheep","1998","State","000 Head","4042"
"Livestock - Sheep","1999","State","000 Head","4018"
"Livestock - Sheep","2000","State","000 Head","3614"
"Livestock - Sheep","2001","State","000 Head","3457"
"Livestock - Sheep","2002","State","000 Head","3089"
"Livestock - Sheep","2003","State","000 Head","2944"
"Livestock - Sheep","2004","State","000 Head","3022"
"Livestock - Sheep","2005","State","000 Head","3137"
"Livestock - Sheep","2006","State","000 Head","2960"
"Livestock - Sheep","2007","State","000 Head","2811"
"Livestock - Sheep","2008","State","000 Head","2590"
"Livestock - Sheep","2009","State","000 Head","2236"
"Livestock - Sheep","2010","State","000 Head","1983"
"Livestock - Sheep","2011","State","000 Head","2174"
"Livestock - Sheep","2012","State","000 Head","2466"
"Livestock - Sheep","2013","State","000 Head","2393"
"Livestock - Sheep","2014","State","000 Head","2518"
"Livestock - Sheep","2015","State","000 Head","2533"
"Livestock - Sheep","2016","State","000 Head","2621"
"Livestock - Sheep","2017","State","000 Head","2714.432501"
"Livestock - Sheep","2018","State","000 Head","2541.875"
"Livestock - Sheep","2019","State","000 Head","2600.363"
"Livestock - Sheep","2020","State","000 Head","2761.384"
"Livestock - Sheep","2021","State","000 Head","2772.627"
"Livestock - Sheep","2022","State","000 Head","2779.41"
"Livestock - Sheep","2023","State","000 Head","2485.901"
"Livestock - Poultry","1990","State","000 Head","50917"
"Livestock - Poultry","1991","State","000 Head","50210"
"Livestock - Poultry","1992","State","000 Head","52991"
"Livestock - Poultry","1993","State","000 Head","49861"
"Livestock - Poultry","1994","State","000 Head","56692"
"Livestock - Poultry","1995","State","000 Head","50982"
"Livestock - Poultry","1996","State","000 Head","49387"
"Livestock - Poultry","1997","State","000 Head","57600"
"Livestock - Poultry","1998","State","000 Head","60367"
"Livestock - Poultry","1999","State","000 Head","61592"
"Livestock - Poultry","2000","State","000 Head","59462"
"Livestock - Poultry","2001","State","000 Head","60845"
"Livestock - Poultry","2002","State","000 Head","60141"
"Livestock - Poultry","2003","State","000 Head","63319"
"Livestock - Poultry","2004","State","000 Head","64417"
"Livestock - Poultry","2005","State","000 Head","64768"
"Livestock - Poultry","2006","State","000 Head","68262"
"Livestock - Poultry","2007","State","000 Head","74667"
"Livestock - Poultry","2008","State","000 Head","70960"
"Livestock - Poultry","2009","State","000 Head","73059"
"Livestock - Poultry","2010","State","000 Head","66031"
"Livestock - Poultry","2011","State","000 Head","73608"
"Livestock - Poultry","2012","State","000 Head","90880"
"Livestock - Poultry","2013","State","000 Head","78216"
"Livestock - Poultry","2014","State","000 Head","83167"
"Livestock - Poultry","2015","State","000 Head","78821"
"Livestock - Poultry","2016","State","000 Head","91201"
"Livestock - Poultry","2017","State","000 Head","90670.759"
"Livestock - Poultry","2018","State","000 Head","93483.612"
"Livestock - Poultry","2019","State","000 Head","115090.148"
"Livestock - Poultry","2020","State","000 Head","139502.1203"
"Livestock - Poultry","2021","State","000 Head","138789.3983"
"Livestock - Poultry","2022","State","000 Head","139737.1093"
"Livestock - Poultry","2023","State","000 Head","135277.1283"
"Livestock Products - Milk","1990","State","Million Litres","5179"
"Livestock Products - Milk","1991","State","Million Litres","5123"
"Livestock Products - Milk","1992","State","Million Litres","5167"
"Livestock Products - Milk","1993","State","Million Litres","5109"
"Livestock Products - Milk","1994","State","Million Litres","5176"
"Livestock Products - Milk","1995","State","Million Litres","5187"
"Livestock Products - Milk","1996","State","Million Litres","5194"
"Livestock Products - Milk","1997","State","Million Litres","5151"
"Livestock Products - Milk","1998","State","Million Litres","4990"
"Livestock Products - Milk","1999","State","Million Litres","5018"
"Livestock Products - Milk","2000","State","Million Litres","5048"
"Livestock Products - Milk","2001","State","Million Litres","5210"
"Livestock Products - Milk","2002","State","Million Litres","5063"
"Livestock Products - Milk","2003","State","Million Litres","5186"
"Livestock Products - Milk","2004","State","Million Litres","5142"
"Livestock Products - Milk","2005","State","Million Litres","4939"
"Livestock Products - Milk","2006","State","Million Litres","5097"
"Livestock Products - Milk","2007","State","Million Litres","5097"
"Livestock Products - Milk","2008","State","Million Litres","4963"
"Livestock Products - Milk","2009","State","Million Litres","4804"
"Livestock Products - Milk","2010","State","Million Litres","5182"
"Livestock Products - Milk","2011","State","Million Litres","5395"
"Livestock Products - Milk","2012","State","Million Litres","5242"
"Livestock Products - Milk","2013","State","Million Litres","5438"
"Livestock Products - Milk","2014","State","Million Litres","5666"
"Livestock Products - Milk","2015","State","Million Litres","6413"
"Livestock Products - Milk","2016","State","Million Litres","6671"
"Livestock Products - Milk","2017","State","Million Litres","7279.666249"
"Livestock Products - Milk","2018","State","Million Litres","7601.928549"
"Livestock Products - Milk","2019","State","Million Litres","8002.776031"
"Livestock Products - Milk","2020","State","Million Litres","8311.565479"
"Livestock Products - Milk","2021","State","Million Litres","8773.700055"
"Livestock Products - Milk","2022","State","Million Litres","8839.842305"
"Livestock Products - Milk","2023","State","Million Litres","8473.300749"
"Livestock Products - Eggs","1990","State","Million","576"
"Livestock Products - Eggs","1991","State","Million","655"
"Livestock Products - Eggs","1992","State","Million","618"
"Livestock Products - Eggs","1993","State","Million","619"
"Livestock Products - Eggs","1994","State","Million","563"
"Livestock Products - Eggs","1995","State","Million","572"
"Livestock Products - Eggs","1996","State","Million","482"
"Livestock Products - Eggs","1997","State","Million","477"
"Livestock Products - Eggs","1998","State","Million","487"
"Livestock Products - Eggs","1999","State","Million","456"
"Livestock Products - Eggs","2000","State","Million","568"
"Livestock Products - Eggs","2001","State","Million","579"
"Livestock Products - Eggs","2002","State","Million","612"
"Livestock Products - Eggs","2003","State","Million","588"
"Livestock Products - Eggs","2004","State","Million","588"
"Livestock Products - Eggs","2005","State","Million","665"
"Livestock Products - Eggs","2006","State","Million","704"
"Livestock Products - Eggs","2007","State","Million","634"
"Livestock Products - Eggs","2008","State","Million","626"
"Livestock Products - Eggs","2009","State","Million","634"
"Livestock Products - Eggs","2010","State","Million","488"
"Livestock Products - Eggs","2011","State","Million","629"
"Livestock Products - Eggs","2012","State","Million","699"
"Livestock Products - Eggs","2013","State","Million","634"
"Livestock Products - Eggs","2014","State","Million","637"
"Livestock Products - Eggs","2015","State","Million","771"
"Livestock Products - Eggs","2016","State","Million","812"
"Livestock Products - Eggs","2017","State","Million","906.8721219"
"Livestock Products - Eggs","2018","State","Million","978.5998829"
"Livestock Products - Eggs","2019","State","Million","979.0826113"
"Livestock Products - Eggs","2020","State","Million","1029.8346"
"Livestock Products - Eggs","2021","State","Million","1006.173298"
"Livestock Products - Eggs","2022","State","Million","979.6887365"
"Livestock Products - Eggs","2023","State","Million","1054.522921"
"Crops - Barley","1990","State","000 Tonnes","863"
"Crops - Barley","1991","State","000 Tonnes","853"
"Crops - Barley","1992","State","000 Tonnes","967"
"Crops - Barley","1993","State","000 Tonnes","727"
"Crops - Barley","1994","State","000 Tonnes","648"
"Crops - Barley","1995","State","000 Tonnes","777"
"Crops - Barley","1996","State","000 Tonnes","990"
"Crops - Barley","1997","State","000 Tonnes","940"
"Crops - Barley","1998","State","000 Tonnes","817"
"Crops - Barley","1999","State","000 Tonnes","976"
"Crops - Barley","2000","State","000 Tonnes","1077"
"Crops - Barley","2001","State","000 Tonnes","982"
"Crops - Barley","2002","State","000 Tonnes","740"
"Crops - Barley","2003","State","000 Tonnes","899"
"Crops - Barley","2004","State","000 Tonnes","991"
"Crops - Barley","2005","State","000 Tonnes","646"
"Crops - Barley","2006","State","000 Tonnes","747"
"Crops - Barley","2007","State","000 Tonnes","725"
"Crops - Barley","2008","State","000 Tonnes","840"
"Crops - Barley","2009","State","000 Tonnes","741"
"Crops - Barley","2010","State","000 Tonnes","758"
"Crops - Barley","2011","State","000 Tonnes","975"
"Crops - Barley","2012","State","000 Tonnes","1012"
"Crops - Barley","2013","State","000 Tonnes","1247"
"Crops - Barley","2014","State","000 Tonnes","1263"
"Crops - Barley","2015","State","000 Tonnes","1106"
"Crops - Barley","2016","State","000 Tonnes","1058"
"Crops - Barley","2017","State","000 Tonnes","1042.505329"
"Crops - Barley","2018","State","000 Tonnes","960.8402213"
"Crops - Barley","2019","State","000 Tonnes","1362.149034"
"Crops - Barley","2020","State","000 Tonnes","1264.254091"
"Crops - Barley","2021","State","000 Tonnes","1360.317242"
"Crops - Barley","2022","State","000 Tonnes","1379.068522"
"Crops - Barley","2023","State","000 Tonnes","1016.281114"
"Crops - Wheat","1990","State","000 Tonnes","536"
"Crops - Wheat","1991","State","000 Tonnes","574"
"Crops - Wheat","1992","State","000 Tonnes","663"
"Crops - Wheat","1993","State","000 Tonnes","443"
"Crops - Wheat","1994","State","000 Tonnes","394"
"Crops - Wheat","1995","State","000 Tonnes","292"
"Crops - Wheat","1996","State","000 Tonnes","553"
"Crops - Wheat","1997","State","000 Tonnes","601"
"Crops - Wheat","1998","State","000 Tonnes","488"
"Crops - Wheat","1999","State","000 Tonnes","442"
"Crops - Wheat","2000","State","000 Tonnes","608"
"Crops - Wheat","2001","State","000 Tonnes","493"
"Crops - Wheat","2002","State","000 Tonnes","630"
"Crops - Wheat","2003","State","000 Tonnes","495"
"Crops - Wheat","2004","State","000 Tonnes","688"
"Crops - Wheat","2005","State","000 Tonnes","480"
"Crops - Wheat","2006","State","000 Tonnes","508"
"Crops - Wheat","2007","State","000 Tonnes","404"
"Crops - Wheat","2008","State","000 Tonnes","557"
"Crops - Wheat","2009","State","000 Tonnes","326"
"Crops - Wheat","2010","State","000 Tonnes","365"
"Crops - Wheat","2011","State","000 Tonnes","653"
"Crops - Wheat","2012","State","000 Tonnes","460"
"Crops - Wheat","2013","State","000 Tonnes","342"
"Crops - Wheat","2014","State","000 Tonnes","465"
"Crops - Wheat","2015","State","000 Tonnes","412"
"Crops - Wheat","2016","State","000 Tonnes","434"
"Crops - Wheat","2017","State","000 Tonnes","437.4584607"
"Crops - Wheat","2018","State","000 Tonnes","339.6447783"
"Crops - Wheat","2019","State","000 Tonnes","484.8276651"
"Crops - Wheat","2020","State","000 Tonnes","245.2838766"
"Crops - Wheat","2021","State","000 Tonnes","524.2953211"
"Crops - Wheat","2022","State","000 Tonnes","561.8699655"
"Crops - Wheat","2023","State","000 Tonnes","353.2875851"
"Crops - Oats","1990","State","000 Tonnes","69"
"Crops - Oats","1991","State","000 Tonnes","73"
"Crops - Oats","1992","State","000 Tonnes","81"
"Crops - Oats","1993","State","000 Tonnes","74"
"Crops - Oats","1994","State","000 Tonnes","72"
"Crops - Oats","1995","State","000 Tonnes","51"
"Crops - Oats","1996","State","000 Tonnes","75"
"Crops - Oats","1997","State","000 Tonnes","83"
"Crops - Oats","1998","State","000 Tonnes","74"
"Crops - Oats","1999","State","000 Tonnes","79"
"Crops - Oats","2000","State","000 Tonnes","81"
"Crops - Oats","2001","State","000 Tonnes","69"
