"Statistic Label","Year","Type of Crop","UNIT","VALUE"
"Area under Crops","2008","Total wheat, oats and barley","000 Hectares","320.7"
"Area under Crops","2008","Total wheat","000 Hectares","110.7"
"Area under Crops","2008","Winter wheat","000 Hectares","87.5"
"Area under Crops","2008","Spring wheat","000 Hectares","23.2"
"Area under Crops","2009","Total wheat, oats and barley","000 Hectares","298.5"
"Area under Crops","2009","Total wheat","000 Hectares","84.5"
"Area under Crops","2009","Winter wheat","000 Hectares","64.3"
"Area under Crops","2009","Spring wheat","000 Hectares","20.2"
"Area under Crops","2010","Total wheat, oats and barley","000 Hectares","272.3"
"Area under Crops","2010","Total wheat","000 Hectares","77.8"
"Area under Crops","2010","Winter wheat","000 Hectares","59.8"
"Area under Crops","2010","Spring wheat","000 Hectares","18"
"Area under Crops","2011","Total wheat, oats and barley","000 Hectares","296.2"
"Area under Crops","2011","Total wheat","000 Hectares","94.2"
"Area under Crops","2011","Winter wheat","000 Hectares","77.7"
"Area under Crops","2011","Spring wheat","000 Hectares","16.4"
"Area under Crops","2012","Total wheat, oats and barley","000 Hectares","314.5"
"Area under Crops","2012","Total wheat","000 Hectares","98"
"Area under Crops","2012","Winter wheat","000 Hectares","84.6"
"Area under Crops","2012","Spring wheat","000 Hectares","13.5"
"Area under Crops","2013","Total wheat, oats and barley","000 Hectares","306.7"
"Area under Crops","2013","Total wheat","000 Hectares","60.6"
"Area under Crops","2013","Winter wheat","000 Hectares","45.4"
"Area under Crops","2013","Spring wheat","000 Hectares","15.2"
"Area under Crops","2014","Total wheat, oats and barley","000 Hectares","305.9"
"Area under Crops","2014","Total wheat","000 Hectares","71.6"
"Area under Crops","2014","Winter wheat","000 Hectares","65.1"
"Area under Crops","2014","Spring wheat","000 Hectares","6.5"
"Area under Crops","2015","Total wheat, oats and barley","000 Hectares","291.6"
"Area under Crops","2015","Total wheat","000 Hectares","65.3"
"Area under Crops","2015","Winter wheat","000 Hectares","55.3"
"Area under Crops","2015","Spring wheat","000 Hectares","10.1"
"Area under Crops","2016","Total wheat, oats and barley","000 Hectares","280.3"
