"Statistic Label","Type of Land Use","Region","Year","UNIT","VALUE"
"Area Farmed in June","Total cereals","State","2008","000 Hectares","322"
"Area Farmed in June","Total cereals","State","2009","000 Hectares","299.8"
"Area Farmed in June","Total cereals","State","2010","000 Hectares","273.9"
"Area Farmed in June","Total cereals","State","2011","000 Hectares","297.4"
"Area Farmed in June","Total cereals","State","2012","000 Hectares","315.4"
"Area Farmed in June","Total cereals","Border","2008","000 Hectares","25.7"
"Area Farmed in June","Total cereals","Border","2009","000 Hectares","24.2"
"Area Farmed in June","Total cereals","Border","2010","000 Hectares","22.9"
"Area Farmed in June","Total cereals","Border","2011","000 Hectares","23.9"
"Area Farmed in June","Total cereals","Border","2012","000 Hectares","24.8"
"Area Farmed in June","Total cereals","Midland","2008","000 Hectares","32.8"
"Area Farmed in June","Total cereals","Midland","2009","000 Hectares","31"
"Area Farmed in June","Total cereals","Midland","2010","000 Hectares","28.7"
"Area Farmed in June","Total cereals","Midland","2011","000 Hectares","31.9"
"Area Farmed in June","Total cereals","Midland","2012","000 Hectares","35.2"
"Area Farmed in June","Total cereals","West","2008","000 Hectares","4.8"
"Area Farmed in June","Total cereals","West","2009","000 Hectares","4.7"
"Area Farmed in June","Total cereals","West","2010","000 Hectares","4.5"
"Area Farmed in June","Total cereals","West","2011","000 Hectares","5"
"Area Farmed in June","Total cereals","West","2012","000 Hectares","5.4"
"Area Farmed in June","Total cereals","Dublin plus Mid East","2008","000 Hectares","84.8"
"Area Farmed in June","Total cereals","Dublin plus Mid East","2009","000 Hectares","79.2"
"Area Farmed in June","Total cereals","Dublin plus Mid East","2010","000 Hectares","74.7"
"Area Farmed in June","Total cereals","Dublin plus Mid East","2011","000 Hectares","80.9"
"Area Farmed in June","Total cereals","Dublin plus Mid East","2012","000 Hectares","85.2"
"Area Farmed in June","Total cereals","Mid-West","2008","000 Hectares","11.2"
"Area Farmed in June","Total cereals","Mid-West","2009","000 Hectares","10.3"
"Area Farmed in June","Total cereals","Mid-West","2010","000 Hectares","9.2"
"Area Farmed in June","Total cereals","Mid-West","2011","000 Hectares","9.4"
"Area Farmed in June","Total cereals","Mid-West","2012","000 Hectares","10.2"
"Area Farmed in June","Total cereals","South-East","2008","000 Hectares","110.7"
"Area Farmed in June","Total cereals","South-East","2009","000 Hectares","102"
"Area Farmed in June","Total cereals","South-East","2010","000 Hectares","91.7"
"Area Farmed in June","Total cereals","South-East","2011","000 Hectares","100.5"
"Area Farmed in June","Total cereals","South-East","2012","000 Hectares","106.3"
"Area Farmed in June","Total cereals","South-West","2008","000 Hectares","52.1"
"Area Farmed in June","Total cereals","South-West","2009","000 Hectares","48.3"
"Area Farmed in June","Total cereals","South-West","2010","000 Hectares","42.2"
"Area Farmed in June","Total cereals","South-West","2011","000 Hectares","45.6"
"Area Farmed in June","Total cereals","South-West","2012","000 Hectares","48.3"
