"Statistic Label","Year","State","UNIT","VALUE"
"Value of Crops Stock Change","1990","State","Euro Million","-2.67"
"Value of Crops Stock Change","1991","State","Euro Million","-5.07"
"Value of Crops Stock Change","1992","State","Euro Million","1.77"
"Value of Crops Stock Change","1993","State","Euro Million","-9.06"
"Value of Crops Stock Change","1994","State","Euro Million","-0.65"
"Value of Crops Stock Change","1995","State","Euro Million","0.79"
"Value of Crops Stock Change","1996","State","Euro Million","2.04"
"Value of Crops Stock Change","1997","State","Euro Million","-3.66"
"Value of Crops Stock Change","1998","State","Euro Million","-10.33"
"Value of Crops Stock Change","1999","State","Euro Million","3.13"
"Value of Crops Stock Change","2000","State","Euro Million","-1.76"
"Value of Crops Stock Change","2001","State","Euro Million","2.31"
"Value of Crops Stock Change","2002","State","Euro Million","-2.76"
"Value of Crops Stock Change","2003","State","Euro Million","9.42"
"Value of Crops Stock Change","2004","State","Euro Million","8.3"
"Value of Crops Stock Change","2005","State","Euro Million","-8.55"
"Value of Crops Stock Change","2006","State","Euro Million","1.95"
"Value of Crops Stock Change","2007","State","Euro Million","-6.58"
"Value of Crops Stock Change","2008","State","Euro Million","7.04"
"Value of Crops Stock Change","2009","State","Euro Million","2.09"
"Value of Crops Stock Change","2010","State","Euro Million","-7.87"
"Value of Crops Stock Change","2011","State","Euro Million","8.74"
"Value of Crops Stock Change","2012","State","Euro Million","-28.91"
"Value of Crops Stock Change","2013","State","Euro Million","22.82"
"Value of Crops Stock Change","2014","State","Euro Million","-1.29"
"Value of Crops Stock Change","2015","State","Euro Million","-2.95"
"Value of Crops Stock Change","2016","State","Euro Million","3.28"
"Value of Crops Stock Change","2017","State","Euro Million","13.91181628"
"Value of Crops Stock Change","2018","State","Euro Million","-0.704576556"
"Value of Crops Stock Change","2019","State","Euro Million","-1.165613189"
"Value of Crops Stock Change","2020","State","Euro Million","-21.68148717"
"Value of Crops Stock Change","2021","State","Euro Million","28.5525106"
"Value of Crops Stock Change","2022","State","Euro Million","-1.43906996"
"Value of Crops Stock Change","2023","State","Euro Million","-23.07120244"
