"Type of Crop","Year","Statistic Label","UNIT","VALUE"
"Total wheat, oats and barley","1985","Area under Crops","000 Hectares","386.2"
"Total wheat, oats and barley","1985","Crop Yield per Hectare","Tonnes","5.1"
"Total wheat, oats and barley","1985","Crop Yield","000 Tonnes","1986"
"Total wheat, oats and barley","1986","Area under Crops","000 Hectares","362.6"
"Total wheat, oats and barley","1986","Crop Yield per Hectare","Tonnes","5.2"
"Total wheat, oats and barley","1986","Crop Yield","000 Tonnes","1880"
"Total wheat, oats and barley","1987","Area under Crops","000 Hectares","334.3"
"Total wheat, oats and barley","1987","Crop Yield per Hectare","Tonnes","6"
"Total wheat, oats and barley","1987","Crop Yield","000 Tonnes","2005"
"Total wheat, oats and barley","1988","Area under Crops","000 Hectares","323.6"
"Total wheat, oats and barley","1988","Crop Yield per Hectare","Tonnes","6.4"
"Total wheat, oats and barley","1988","Crop Yield","000 Tonnes","2077"
"Total wheat, oats and barley","1989","Area under Crops","000 Hectares","319.6"
"Total wheat, oats and barley","1989","Crop Yield per Hectare","Tonnes","6"
"Total wheat, oats and barley","1989","Crop Yield","000 Tonnes","1918"
"Total wheat, oats and barley","1990","Area under Crops","000 Hectares","298.5"
"Total wheat, oats and barley","1990","Crop Yield per Hectare","Tonnes","6.6"
"Total wheat, oats and barley","1990","Crop Yield","000 Tonnes","1964"
"Total wheat, oats and barley","1991","Area under Crops","000 Hectares","299.6"
"Total wheat, oats and barley","1991","Crop Yield per Hectare","Tonnes","6.6"
"Total wheat, oats and barley","1991","Crop Yield","000 Tonnes","1965"
"Total wheat, oats and barley","1992","Area under Crops","000 Hectares","295.1"
"Total wheat, oats and barley","1992","Crop Yield per Hectare","Tonnes","6.8"
"Total wheat, oats and barley","1992","Crop Yield","000 Tonnes","2018"
"Total wheat, oats and barley","1993","Area under Crops","000 Hectares","280.3"
"Total wheat, oats and barley","1993","Crop Yield per Hectare","Tonnes","5.8"
"Total wheat, oats and barley","1993","Crop Yield","000 Tonnes","1626"
"Total wheat, oats and barley","1994","Area under Crops","000 Hectares","264.7"
"Total wheat, oats and barley","1994","Crop Yield per Hectare","Tonnes","6.1"
"Total wheat, oats and barley","1994","Crop Yield","000 Tonnes","1609"
"Total wheat, oats and barley","1995","Area under Crops","000 Hectares","269.2"
"Total wheat, oats and barley","1995","Crop Yield per Hectare","Tonnes","6.7"
"Total wheat, oats and barley","1995","Crop Yield","000 Tonnes","1796"
"Total wheat, oats and barley","1996","Area under Crops","000 Hectares","288"
"Total wheat, oats and barley","1996","Crop Yield per Hectare","Tonnes","7.4"
"Total wheat, oats and barley","1996","Crop Yield","000 Tonnes","2142"
"Total wheat, oats and barley","1997","Area under Crops","000 Hectares","304.3"
"Total wheat, oats and barley","1997","Crop Yield per Hectare","Tonnes","6.4"
"Total wheat, oats and barley","1997","Crop Yield","000 Tonnes","1943.4"
"Total wheat, oats and barley","1998","Area under Crops","000 Hectares","294"
"Total wheat, oats and barley","1998","Crop Yield per Hectare","Tonnes","6.3"
"Total wheat, oats and barley","1998","Crop Yield","000 Tonnes","1865"
