,Year,Member State,(SE136) Total crops output (€/ha),(SE140) Cereals (€/farm),(SE285) Seeds and plants (€/farm),(SE290) Seeds and plants home-grown (€/farm),(SE295) Fertilisers (€/farm),(SE296) Fertiliser N (q/farm),(SE297) Fertiliser P2O5 (q/farm),(SE305) Other crop specific costs (€/farm),(SE340) Machinery & building current costs (€/farm),(SE345) Energy (€/farm),(SE455) Machinery and equipment (€/farm),(SE610) Total subsidies on crops (€/farm),(SE447) Agricultural land (€/farm),(SE710) Processing of crops (€/farm),(SE300) Crop protection (€/farm),(SE035) Cereals (ha/farm),(SE110) Yield of wheat (q/ha)
0,2004,(IE) Ireland,1136.41,34239,4542,709,8949,-,-,2178,5060,3050,45625,16581,859872,0,8268,39.66,103.5
1,2004,(FR) France,1023.09,53065,10037,347,14907,-,-,690,9570,6180,85810,38794,50354,0,15778,67.1,80.22
2,2004,(UK) United Kingdom,1001.57,72925,13218,1664,18692,-,-,9286,21066,11992,123305,44830,900888,0,23060,91.41,82.15
3,2005,(IE) Ireland,1159.81,24370,3974,445,8470,-,-,3162,5028,2636,41643,0,1495856,0,6710,31.81,84.10000000000001
4,2005,(FR) France,994.09,48150,9535,319,15772,-,-,664,9247,7365,85557,37014,50195,0,15448,65.14,73.86
5,2005,(UK) United Kingdom,1025.35,70394,13086,1416,19289,-,-,9214,19712,14295,125063,432,942446,0,22737,87.88,83.67
6,2006,(IE) Ireland,1319.64,41316,5518,639,10134,-,-,1366,5934,3819,49802,99,1646127,0,7682,42.49,92.74
7,2006,(FR) France,1093.92,57870,9401,356,16282,-,-,654,9319,8142,85964,9177,48861,0,15392,66.16,71.14
8,2006,(UK) United Kingdom,1221.2,91102,13135,1435,20774,-,-,10514,21759,16060,134123,547,1092750,0,22735,88.13,86.02
9,2007,(IE) Ireland,1855.38,54637,5557,743,9691,-,-,2997,5743,3539,54280,28,1692876,0,8252,37.1,83.86
10,2007,(FR) France,1381.84,88105,10066,391,17710,-,-,782,10862,8254,95137,9228,48312,0,17019,68.43,67.76
11,2007,(UK) United Kingdom,1432.18,137847,13138,1265,22361,-,-,9658,24128,16855,139159,356,1328144,0,24884,94.46000000000001,76.85000000000001
