Year,Area under Crops,Crop Production,Crop Yield per Hectare,Output (Tonnes),Crop Stock Change Euro Million,Subsidies on Cereals Euro Million
1990,70.1,598.0,8.5,536.0,-2.6700000762939453,0.0
1991,85.7,673.6,7.900000095367432,574.0,-5.070000171661377,0.0
1992,90.6,714.0,7.900000095367432,663.0,1.7699999809265137,0.0
1993,79.2,539.0,6.800000190734863,443.0,-9.0600004196167,48.5
1994,74.1,572.0,7.699999809265137,394.0,-0.6499999761581421,71.2
1995,70.7,583.0,8.199999809265137,292.0,0.7900000214576721,85.9
1996,85.7,771.2,9.0,553.0,2.0399999618530273,97.9
1997,93.9,724.5,7.699999809265137,601.0,-3.6600000858306885,106.7
1998,83.8,673.0,8.0,488.0,-10.329999923706055,100.4
1999,68.1,597.4,8.800000190734863,442.0,3.130000114440918,94.6
2000,78.0,737.4,9.5,608.0,-1.7599999904632568,99.7
2001,84.9,769.2,9.100000381469727,493.0,2.309999942779541,108.4
2002,102.7,867.2,8.399999618530273,630.0,-2.759999990463257,112.4
2003,95.7,794.1,8.300000190734863,495.0,9.420000076293945,116.3
2004,102.7,1019.2,9.899999618530273,688.0,8.300000190734863,112.2
2005,95.2,802.7,8.399999618530273,480.0,-8.550000190734863,1.78
2006,87.5,801.0,9.199999809265137,508.0,1.9500000476837158,0.04
2007,84.3,713.4,8.5,404.0,-6.579999923706055,0.0
2008,110.7,992.8,9.0,557.0,7.039999961853027,0.0
2009,84.5,690.1,8.199999809265137,326.0,2.0899999141693115,0.0
2010,77.8,669.2,8.600000381469727,365.0,-7.869999885559082,0.19
2011,94.2,929.2,9.899999618530273,653.0,8.739999771118164,0.24
2012,98.0,707.9,7.199999809265137,460.0,-28.90999984741211,0.01
2013,60.6,545.3,9.0,342.0,22.81999969482422,0.0
2014,71.6,717.0,10.0,465.0,-1.2899999618530273,0.0
2015,65.3,696.6,10.699999809265137,412.0,-2.950000047683716,0.0
2016,67.9,647.7,9.5,434.0,3.2799999713897705,0.0
2017,67.0,681.7,10.199999809265137,437.45847,13.911816596984863,0.0
2018,58.0,506.8,8.699999809265137,339.64478,-0.7045765519142151,0.0
2019,63.5,636.0,10.0,484.82767,-1.1656131744384766,0.0
2020,47.0,393.0,8.399999618530273,245.28387,-21.681488037109375,0.0
2021,62.3,662.4,10.600000381469727,524.29535,28.55251121520996,0.0
2022,67.2,720.0,10.699999809265137,561.87,-1.4390699863433838,0.0
2023,55.8,520.8,9.300000190734863,353.2876,-23.071203231811523,0.0
2024,,,9.35807840719969,,9.171867977461094,
2025,,,9.99876608733777,,-0.706695,
2026,,,10.098590203085255,,-0.706695,
2027,,,9.67958579720653,,-0.706695,
2028,,,9.666783713384493,,-0.706695,
